email_text,type
"Testing 
",Informational
"Test email
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"Testing 
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"FBC Generator : Generator is not AUTO MODE as of 08:18:11. * In the event of mains failure Generator will not start.

",Alarm
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"
FBC Generator : Generator fault cleared at 08:24:59.
",Informational
"
FBC Generator : Generator fault at 08:20:35, please attend.
",Alarm
"MEGAPAK PET 1 GENERATOR: Mains Failure warning!
",Informational
"
MEGAPAK PET 1 GENERATOR: Mains restored!
",Informational
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
"Test email
",Informational
"Waita sei?
",Informational
"Testing 
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Testing 
",Informational
"Delta Cripps DC_Genset running
",Informational
"Testing

Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"Test email
",Informational
"FBC Generator : Generator is not AUTO MODE as of 08:18:11. * In the event of mains failure Generator will not start.


Sent from Outlook for Android<https://aka.ms/AAb9ysg>
",Alarm
"FBC Generator : Generator is not AUTO MODE as  of  08:18:11. * In the event of mains failure Generator will not start.
",Alarm
